sample-id	Sampling_ID	Location	Replicate	Depth	Sample_Type	Biomass_g_cm2	Core_BD_g_cm3	Perc_OM	CH4_Flux_umol_m2_h	CO2_Flux_umol_m2_h	N2O_Flux_umol_m2_h	CH4_conc_inf-6in_PPM	C02_conc_inf-6in_PPM	N2O_conc_inf-6in_PPM
AHC01	C3MB	Control	3	Middle	Bulk Soil	0.06	1.21	4.33	-0.529060048	23.01631675	0.019726764	7.23539	46267.6654	186.2457
AHC02	C2MB	Control	2	Middle	Bulk Soil	0.06	1.29	3.8	-1.39871755	22.87429108	0.020021137	6.21179	38363.72318	160.07746
AHC03	C3UB	Control	3	Upper	Bulk Soil	0.06	1.21	4.33	-0.529060048	23.01631675	0.019726764	7.23539	46267.6654	186.2457
AHC04	C1UB	Control	1	Upper	Bulk Soil	0.09	1.17	3.29	-0.887840013	18.03701479	0.014646957	5.24727	40080.26222	155.94477
AHC05	C1MB	Control	1	Middle	Bulk Soil	0.09	1.17	3.29	-0.887840013	18.03701479	0.014646957	5.24727	40080.26222	155.94477
AHC06	C2UB	Control	2	Upper	Bulk Soil	0.06	1.29	3.8	-1.39871755	22.87429108	0.020021137	6.21179	38363.72318	160.07746
AHC07	C1LB	Control	1	Lower	Bulk Soil	0.09	1.17	3.29	-0.887840013	18.03701479	0.014646957	5.24727	40080.26222	155.94477
AHC08	C2LB	Control	2	Lower	Bulk Soil	0.06	1.29	3.8	-1.39871755	22.87429108	0.020021137	6.21179	38363.72318	160.07746
AHC09	R2MB	Reserve	2	Middle	Bulk Soil	0.01	1.39	3.41	-0.384574732	10.29753054	0.009309801			
AHC10	R1UB	Reserve	1	Upper	Bulk Soil	0	1.36	3.63	-0.595388686	11.2412909	0.00550265			
AHC11	C3UR	Control	3	Upper	Rhizosphere	0.06	1.21	4.33	-0.529060048	23.01631675	0.019726764	7.23539	46267.6654	186.2457
AHC12	C1MR	Control	1	Middle	Rhizosphere	0.09	1.17	3.29	-0.887840013	18.03701479	0.014646957	5.24727	40080.26222	155.94477
AHC13	C2MR	Control	2	Middle	Rhizosphere	0.06	1.29	3.8	-1.39871755	22.87429108	0.020021137	6.21179	38363.72318	160.07746
AHC14	C2UR	Control	2	Upper	Rhizosphere	0.06	1.29	3.8	-1.39871755	22.87429108	0.020021137	6.21179	38363.72318	160.07746
AHC15	R2LB	Reserve	2	Lower	Bulk Soil	0.01	1.39	3.41	-0.384574732	10.29753054	0.009309801			
AHC16	C3LB	Control	3	Lower	Bulk Soil	0.06	1.21	4.33	-0.529060048	23.01631675	0.019726764	7.23539	46267.6654	186.2457
AHC17	R3UB	Reserve	3	Upper	Bulk Soil	0.03	1.37	3.42	-0.891543883	12.79010499	0.005699731			
AHC18	R3MB	Reserve	3	Middle	Bulk Soil	0.03	1.37	3.42	-0.891543883	12.79010499	0.005699731			
AHC19	E2MB	Experimental	2	Middle	Bulk Soil	0.08	1.31	5.76	-1.728417176	22.66617654	0.022210072	5.50942	57012.08824	192.72997
AHC20	E1UB	Experimental	1	Upper	Bulk Soil	0.07	1.27	3.14	-0.746477064	22.69223075	0.018275203	4.54767	46287.01074	134.65237
AHC21	R2UB	Reserve	2	Upper	Bulk Soil	0.01	1.39	3.41	-0.384574732	10.29753054	0.009309801			
AHC22	E3MB	Experimental	3	Middle	Bulk Soil	0.08	1.22	3.54	-1.060223556	24.31056342	0.020580456	5.18494	42936.90686	103.78886
AHC23	E1MB	Experimental	1	Middle	Bulk Soil	0.07	1.27	3.14	-0.746477064	22.69223075	0.018275203	4.54767	46287.01074	134.65237
AHC24	E1LB	Experimental	1	Lower	Bulk Soil	0.07	1.27	3.14	-0.746477064	22.69223075	0.018275203	4.54767	46287.01074	134.65237
AHC25	E3UB	Experimental	3	Upper	Bulk Soil	0.08	1.22	3.54	-1.060223556	24.31056342	0.020580456	5.18494	42936.90686	103.78886
AHC26	E3LB	Experimental	3	Lower	Bulk Soil	0.08	1.22	3.54	-1.060223556	24.31056342	0.020580456	5.18494	42936.90686	103.78886
AHC27	E2LB	Experimental	2	Lower	Bulk Soil	0.08	1.31	5.76	-1.728417176	22.66617654	0.022210072	5.50942	57012.08824	192.72997
AHC28	R3LB	Reserve	3	Lower	Bulk Soil	0.03	1.37	3.42	-0.891543883	12.79010499	0.005699731			
AHC29	R1MB	Reserve	1	Middle	Bulk Soil	0	1.36	3.63	-0.595388686	11.2412909	0.00550265			
AHC30	R2UR	Reserve	2	Upper	Rhizosphere	0.01	1.39	3.41	-0.384574732	10.29753054	0.009309801			
AHC31	E1MR	Experimental	1	Middle	Rhizosphere	0.07	1.27	3.14	-0.746477064	22.69223075	0.018275203	4.54767	46287.01074	134.65237
AHC32	R2LR	Reserve	2	Lower	Rhizosphere	0.01	1.39	3.41	-0.384574732	10.29753054	0.009309801			
AHC33	E2UR	Experimental	2	Upper	Rhizosphere	0.08	1.31	5.76	-1.728417176	22.66617654	0.022210072	5.50942	57012.08824	192.72997
AHC34	E3UR	Experimental	3	Upper	Rhizosphere	0.08	1.22	3.54	-1.060223556	24.31056342	0.020580456	5.18494	42936.90686	103.78886
AHC35	R1UR	Reserve	1	Upper	Rhizosphere	0	1.36	3.63	-0.595388686	11.2412909	0.00550265			
AHC36	E1LR	Experimental	1	Lower	Rhizosphere	0.07	1.27	3.14	-0.746477064	22.69223075	0.018275203	4.54767	46287.01074	134.65237
AHC37	C3MR	Control	3	Middle	Rhizosphere	0.06	1.21	4.33	-0.529060048	23.01631675	0.019726764	7.23539	46267.6654	186.2457
