Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Source,Confidence
df7689c34f49a0d9561196b8b4774802,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,,0.700044154
f19396208c8df37cf8e4d3a7fc773539,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.705288463
ccbb5e6db492e9974efa2e0d59a4f035,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.706577638
881cafc2fc83b0c3ee467738f0b68572,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.708129032
c210205a36e63d886994863fa4dbb078,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.717663275
db359588bc9c1d055b5fe46d1fec9cde,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,,0.718628095
6296faa932ebacc7c01b30340c8f6060,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.719401399
75381669b9559310551133e8c7bbca49,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.720185092
2c3877ed3df6f5ac452eb170a0c728e5,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.723244424
b0220866345c7236e4b4b2f972ba01d9,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.723557063
a6fc980f76e3fd7320b0dbd9872e5989,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.724655367
84db27f7a2d1d26080d85c18840f5024,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.725628911
025756e45aa166f90a888cb5c4cd1352,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.726096694
1dea6fdf50cbddb2bdff2a458ee0b7e0,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.72702691
206708479ec3ecbfcdb02632148c674f,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.72805664
3e8a6c29ec09db0843c48f594bfede14,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.731610594
9ae0c41b0f89bf4f0b118e2658c6ea80,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.735918642
7fd5bc0ebd47353272389ecb2f18ab38,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Unclassified Methylococcaceae,Unclassified Methylococcaceae,,0.736285925
b515d4185ed9cbc840b9eec8a55541dc,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Unclassified Methylocystis,,0.738996657
af1a708fa0b34f4e02ef97d09c469363,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.741604978
2ee095bdccfe5937a803e42b8935128d,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.742547554
f523d2f7602f2b8a0d43bcd3d667435b,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.742665656
a664f646c4690d38e973fb5ab00bf8b7,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Unclassified Methylococcaceae,Unclassified Methylococcaceae,,0.743887904
15cc364a4f35f40ed3f0d42120d57fce,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.746691825
16a965795186d8fb234e85a2e74319a3,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.750018269
ea5954ba41090ec0903924233f39da0e,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.751201756
8e1a6d6dfc0dfdf5735c1778ee9b5a8d,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.751993963
8bb8341742b85dc07c1e5b8b7135cbac,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Unclassified Methylocystis,,0.752917968
3b3ee6c42d728ad26e8c9d1451761cb4,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.754533809
2830db2ae378f6da4fba8a0b67c9dcfa,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.755770932
e9eac09b62aef6bae57cd5dcfa0778cf,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.756365949
21a3e1af75c6d6a016da1f35d1156c5b,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.756450611
54897405d8f33e1d286571d5b17aca0f,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.757728796
90515a9a8aae1c64e4f2556e8c5bc36a,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.761184947
c9ede7953abf1e7713cc273a7c63665a,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.762610535
58a0b4560cbea0bc7c51632bd9cd913d,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.765989287
6a17e06eaf33f50c4105aad6050e406e,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,,0.76847243
4f6328fcf0f7e2146324944d79e6e937,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.768715238
744ea5bab523a943666bfbb5030d07f1,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.771208046
f3d79f4a473bf2321a93a303f6573021,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Unclassified Methylococcaceae,Unclassified Methylococcaceae,,0.775052496
2e3aad075b870e2f65b151bb4be9e47a,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.781331594
540c3f98daab58191f8797aab1059365,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.78552947
518d39787fcd51238a38aa4f855525e4,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.786434476
d6f684b679435943564d15a9efad4ffd,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.78653079
e9822fcf48a8da07d328eac1ed4926db,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Unclassified Methylocystis,,0.79016075
f92cda9389d47aeac8ee7bad79bb196f,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.79030219
4d4e23eca3860def53570fb648c40b98,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.79309562
48a8c21885afc6bdde789fb57d1b5b19,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.794810466
e3ec59cdc521e1236158f27c3b9be2d3,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.794813116
623a266e1a1dc3c3ec31e23824055614,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Unclassified Methylococcaceae,Unclassified Methylococcaceae,,0.802943044
e3982c787eae28ca49d361128791394c,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.806336873
be3510ade142007dd05bdd09229d9e47,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,,0.806737483
1612eadf68ce66aaa987c72ca5f48ebc,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.807020622
88505ce8aec0c275af1d5f4d512dbcce,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.809481586
5ce477ce6618824b82a56f4d0572aa3c,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.81113943
2305366284f3744bbb9101171b7b92cc,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,,0.815254939
4e0e21ef716afd42ef5647cfb77d1650,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.816074222
d90d29d0baf82626fa3dd0918908076e,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.82378691
130a8e93111f6c3e68eab9336f413aae,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.827348137
0d3c5db230242575ec98b49a93362c48,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.827817654
ade5092696cca194ca857a05b9718444,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.828296692
fcf11565b28aa95f83f104579224e933,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.829503246
b311d1d7b71a3b3d4350fd6f78036fc9,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.830136292
7d432f7929312e467454ed0d970b0c5b,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.830347277
62d5e0685613aa05ac96bf4dc1a05c31,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,,0.831399824
3f03e7ab9041cd8b3eff9d74befb6a8e,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.832950876
d463e4afe73b4b1769744b0c7f4097ce,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,,0.834033389
559da1870dba0f151b3b59a5d92da3df,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.840583338
b854bd37fc93ebd995c4b7982f4125f8,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,Unclassified Gammaproteobacteria,,0.843277651
f5772908ea5d0d94f854323569a3af38,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,Unclassified Methylococcales,,0.843823785
3d9fa074c48fd8d1d954e3709853711d,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.844495186
7f07e7a9ec60dcd67ae0e584afb0c08c,Bacteria,Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,Unclassified Proteobacteria,,0.844955993
bf6763ee02402712b0dd972b3238b1bb,Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Unclassified Bacteria,Environmental Sample,0.858248216
